COMPONENT,UNITS,PRICE (€),PROVIDER
,,,LOCAL (Barcelona)
methacrylate,810x635x3mm,40,http://plasticexpress.es/
lasercut,1,40,http://fablabbcn.org/
aluminum T profile 15x15,2x800mm,10.78,http://www.hiperaluminio.com/
aluminum I profile 20x3,3x800mm,20.76,servei estació
plastic parts,300gr,8,http://www.reprapbcn.com/catalog/index.php/material-pla/pla-3mm.html
Arduino Leonardo,1,21.78,http://www.diotronic.com/raspberry-pi-arduino/arduino/placas/arduino-leonardo-w-headers_r_1080_26762.aspx
microinterrupter,2,1.72,http://www.diotronic.com/componentes-mecanicos/interruptores-conmutadores-pulsadores/microrruptores-final-de-carrera/microrrup-miniatura-3a125v-c-p_r_194_1820.aspx
rotary encoder,1,1.6,http://www.ondaradio.es/producto/ec12e12204-rohs-alps-encoder-vertical-12-det-12ppr-21700.aspx
bearing 608,1,2.4,http://www.reprapbcn.com/en/node/184
stepper driver A4988,1,9,http://www.reprapbcn.com/en/catalog/product/white-pololu-stepper-motor-driver-carrier-heatsink
stepper motor nema17,1,13,http://www.reprapbcn.com/es/catalog/product/nema-17-stepper-not-crimped
timing pulley gt2,1,4.2,http://www.reprapbcn.com/es/catalog/product/t25-10mm-aluminium-pulley
threaded rod,16+16+17+17+22+22=110cm,1.5,local hardware store
nuts and bolts,many (list soon),10,local hardware store
,,,SPAIN
aluminum X profile 20x20,800mm*4=3200,14,http://www.motedis.es/shop/Perfil-ranurado/Perfil-20-Tipo-B-ranura-6/Perfil-20x20-Tipo-B-ran-6::999991.html
aluminum X profile 30x30,(162*2 (one side threaded))+(310*2)+(800*2) = 2534,21,http://www.motedis.es/shop/Perfil-ranurado/Perfil-30-Tipo-B-ranura-8/Perfil-30x30-Tipo-B-ran-8::99999432.html
,,,EUROPE
needles,120,44,http://www.bsk.co.uk/knitmastersilver-reed-sk120--sr120-xkn8-763-p.asp
small servo,5,20,http://hobbyking.com/hobbyking/store/__42775__HK_15178B_Digital_MG_Servo_13_5g_1_5kg_0_08s_EU_Warehouse_.html
,,,CHINA (Aliexpress)
timing belt gt2,192cm,2.27,http://www.aliexpress.com/item/Hot-sale-10meter-GT2-6mm-open-timing-belt-width-6mm-GT2-belt/1525204050.html
Vgroove bearing 623,16,32,http://www.aliexpress.com/item/10pcs-3mm-V-Groove-Sealed-Ball-Bearings-0-118-inch-vgroove-bearing-623VV-3-12-4/947908627.html
,,,
,,318.01,€ total